Kingdom,Subkingdoms,Phyla,Subphyla,Classes,Subclasses,Orders,Families,Genera
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Incertae_sedis,Microsporomycetaceae,Microsporomyces
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Incertae_sedis,Symmetrosporaceae,Symmetrospora
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Naohideales,Naohideaceae,Naohidea
Fungi,Basidiobolomyceta,Basidiobolomycota,Pucciniomycotina,Cystobasidiomycetes,Incertae_sedis,Sakaguchiales,Sakaguchiaceae,Sakaguchia
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Blastocladiaceae,Allomyces
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Blastocladiaceae,Blastocladia
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Blastocladiaceae,Blastocladiella
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Blastocladiaceae,Blastocladiopsis
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Catenariaceae,Catenaria
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Catenariaceae,Catenophlyctis
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Catenariaceae,Nematoceromyces
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Incertae_sedis,Endoblastidium
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Paraphysodermataceae,Paraphysoderma
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Blastocladiales,Sorochytriaceae,Sorochytrium
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Callimastigales,Callimastigaceae,Callimastix
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Catenomycetales,Catenomycetaceae,Catenomyces
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Catenomycetales,Coelomomycetaceae,Coelomomyces
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Catenomycetales,Coelomomycetaceae,Coelomycidium
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Microallomyces
Fungi,Blastocladiomyceta,Blastocladiomycota,Blastocladiomycotina,Physodermatomycetes,Incertae_sedis,Physodermatales,Physodermataceae,Physoderma
Fungi,Blastocladiomyceta,Sanchytriomycota,Sanchytriomycotina,Sanchytriomycetes,Incertae_sedis,Sanchytriales,Sanchytriaceae,Amoeboradix
Fungi,Blastocladiomyceta,Sanchytriomycota,Sanchytriomycotina,Sanchytriomycetes,Incertae_sedis,Sanchytriales,Sanchytriaceae,Sanchytrium
